[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:04:08] Previous Value: 0, New Value: 1, vBBU: vbbu1
   [2025-05-13 18:04:09] Previous Value: 1, New Value: 2, vBBU: vbbu1
   [2025-05-13 18:04:10] Previous Value: 2, New Value: 3, vBBU: vbbu1
   [2025-05-13 18:04:11] Previous Value: 3, New Value: 4, vBBU: vbbu1
   [2025-05-13 18:04:12] Previous Value: 4, New Value: 5, vBBU: vbbu1
   [2025-05-13 18:04:13] Previous Value: 5, New Value: 6, vBBU: vbbu1
   [2025-05-13 18:04:14] Previous Value: 6, New Value: 7, vBBU: vbbu1
   [2025-05-13 18:04:15] Previous Value: 7, New Value: 8, vBBU: vbbu1
   [2025-05-13 18:04:16] Previous Value: 8, New Value: 9, vBBU: vbbu1
   [2025-05-13 18:04:17] Previous Value: 9, New Value: 10, vBBU: vbbu1
   [2025-05-13 18:04:18] Previous Value: 10, New Value: 11, vBBU: vbbu1
   [2025-05-13 18:04:19] Previous Value: 11, New Value: 12, vBBU: vbbu1
   [2025-05-13 18:04:20] Previous Value: 12, New Value: 13, vBBU: vbbu1
   [2025-05-13 18:04:21] Previous Value: 13, New Value: 14, vBBU: vbbu1
   [2025-05-13 18:04:22] Previous Value: 14, New Value: 15, vBBU: vbbu1
   [2025-05-13 18:04:23] Previous Value: 15, New Value: 16, vBBU: vbbu1
   [2025-05-13 18:04:24] Previous Value: 16, New Value: 17, vBBU: vbbu1
   [2025-05-13 18:04:25] Previous Value: 17, New Value: 18, vBBU: vbbu1
   [2025-05-13 18:04:26] Previous Value: 18, New Value: 19, vBBU: vbbu1
   [2025-05-13 18:04:27] Previous Value: 19, New Value: 20, vBBU: vbbu1
   [2025-05-13 18:04:28] Previous Value: 20, New Value: 21, vBBU: vbbu1
   [2025-05-13 18:04:29] Previous Value: 21, New Value: 22, vBBU: vbbu1
   [2025-05-13 18:04:30] Previous Value: 22, New Value: 23, vBBU: vbbu1
   [2025-05-13 18:04:31] Previous Value: 23, New Value: 24, vBBU: vbbu1
   [2025-05-13 18:04:32] Previous Value: 24, New Value: 25, vBBU: vbbu1
   [2025-05-13 18:04:33] Previous Value: 25, New Value: 26, vBBU: vbbu1
   [2025-05-13 18:04:34] Previous Value: 26, New Value: 27, vBBU: vbbu1
   [2025-05-13 18:04:35] Previous Value: 27, New Value: 28, vBBU: vbbu1
   [2025-05-13 18:04:36] Previous Value: 28, New Value: 29, vBBU: vbbu1
   [2025-05-13 18:04:37] Previous Value: 29, New Value: 30, vBBU: vbbu1
   [2025-05-13 18:04:38] Previous Value: 30, New Value: 31, vBBU: vbbu1
   [2025-05-13 18:04:39] Previous Value: 31, New Value: 32, vBBU: vbbu1
   [2025-05-13 18:04:40] Previous Value: 32, New Value: 33, vBBU: vbbu1
   [2025-05-13 18:04:41] Previous Value: 33, New Value: 34, vBBU: vbbu1
   [2025-05-13 18:04:42] Previous Value: 34, New Value: 35, vBBU: vbbu1
   [2025-05-13 18:04:43] Previous Value: 35, New Value: 36, vBBU: vbbu1
   [2025-05-13 18:04:45] Previous Value: 36, New Value: 37, vBBU: vbbu1
   [2025-05-13 18:04:46] Previous Value: 37, New Value: 38, vBBU: vbbu1
   [2025-05-13 18:04:47] Previous Value: 38, New Value: 39, vBBU: vbbu1
   [2025-05-13 18:04:48] Previous Value: 39, New Value: 40, vBBU: vbbu1
   [2025-05-13 18:04:49] Previous Value: 40, New Value: 41, vBBU: vbbu1
   [2025-05-13 18:04:50] Previous Value: 41, New Value: 42, vBBU: vbbu1
   [2025-05-13 18:04:51] Previous Value: 42, New Value: 43, vBBU: vbbu1
